DATE,CODE BASE SEC,SEC DSC, LOWER PRICE , TODAY PRICE , UPPER PRICE , STDEV 
20221031,VR0047,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0047, 99.457934 , 99.877935 , 100.297936 , 0.4200 
20221031,VR0048,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0048, 99.457934 , 99.877935 , 100.297936 , 0.4200 
20221031,VR0049,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0049, 99.457934 , 99.877935 , 100.297936 , 0.4200 
20221031,VR0050,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0050, 99.620599 , 99.970599 , 100.320599 , 0.3500 
20221031,VR0051,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0051, 99.550598 , 99.970599 , 100.390600 , 0.4200 
20221031,VR0052,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0052, 99.550598 , 99.970599 , 100.390600 , 0.4200 
20221031,VR0053,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0053, 99.550598 , 99.970599 , 100.390600 , 0.4200 
20221031,VR0054,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0054, 99.527769 , 99.947770 , 100.367771 , 0.4200 
20221031,VR0055,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0055, 99.527769 , 99.947770 , 100.367771 , 0.4200 
20221031,VR0056,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0056, 99.527769 , 99.947770 , 100.367771 , 0.4200 
20221031,VR0057,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0057, 99.447770 , 99.947770 , 100.447770 , 0.5000 
20221031,VR0058,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0058, 99.491609 , 99.911610 , 100.331611 , 0.4200 
20221031,VR0059,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0059, 99.491609 , 99.911610 , 100.331611 , 0.4200 
20221031,VR0060,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0060, 99.491609 , 99.911610 , 100.331611 , 0.4200 
20221031,VR0061,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0061, 99.411610 , 99.911610 , 100.411610 , 0.5000 
20221031,VR0062,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0062, 99.397766 , 99.817767 , 100.237768 , 0.4200 
20221031,VR0063,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0063, 99.397766 , 99.817767 , 100.237768 , 0.4200 
20221031,VR0064,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0064, 99.397766 , 99.817767 , 100.237768 , 0.4200 
20221031,VR0065,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0065, 99.317767 , 99.817767 , 100.317767 , 0.5000 
20221031,VR0066,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0066, 99.457272 , 99.877273 , 100.297274 , 0.4200 
20221031,VR0067,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0067, 99.457272 , 99.877273 , 100.297274 , 0.4200 
20221031,VR0068,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0068, 99.377273 , 99.877273 , 100.377273 , 0.5000 
20221031,VR0069,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0069, 99.377272 , 99.877273 , 100.377274 , 0.5000 
20221031,VR0070,OBLIGASI NEGARA REPUBLIK INDONESIA SERI VR0070, 99.479697 , 99.899698 , 100.319699 , 0.4200 
